"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
433,"2019-04-22 16:17:07.0390","2019-04-22 16:24:20.4830",113,"15th Ave SE & Como Ave SE",44.987517,-93.230469,112,"Como Ave SE & 29th Ave SE",44.987934,-93.212892,55,"Subscriber",1966,2,"Classic"
265,"2019-04-22 16:18:55.5110","2019-04-22 16:23:21.2270",51,"Dupont Ave S & 22nd Street",44.96144162045103,-93.29303517937659,19,"Lyndale Ave S & 22nd Street ",44.9608172131794,-93.28814283013344,880,"Subscriber",1950,1,"Classic"
278,"2019-04-22 16:20:37.7050","2019-04-22 16:25:15.9710",56,"7th Street & 4th Ave S",44.97497,-93.266684,36,"South 2nd Street & 3rd Ave S",44.98096183249473,-93.26354429125784,401,"Customer",1986,2,"Classic"
615,"2019-04-22 16:20:56.5370","2019-04-22 16:31:12.1520",62,"Elliot Hall",44.97685,-93.23818,2,"100 Main Street SE",44.984892,-93.256551,681,"Subscriber",1973,2,"Classic"
650,"2019-04-22 16:23:04.4330","2019-04-22 16:33:54.8430",9,"9th Street & 4th Ave",44.972665557958784,-93.26874911785126,45,"Franklin & Portland",44.96284129291228,-93.26752066612244,984,"Customer",1969,0,"Classic"
368,"2019-04-22 16:25:43.4660","2019-04-22 16:31:52.4130",8,"YWCA Downtown",44.972217,-93.276435,18,"Walker Art Center",44.967103678290506,-93.28907489776611,645,"Customer",1975,1,"Classic"
456,"2019-04-22 16:28:09.7290","2019-04-22 16:35:46.0210",198,"5th Street NE & 3rd Ave NE",44.991914491349455,-93.25579941272736,198,"5th Street NE & 3rd Ave NE",44.991914491349455,-93.25579941272736,1299,"Subscriber",1978,2,"Classic"
182,"2019-04-22 16:31:02.9230","2019-04-22 16:34:05.0220",9,"9th Street & 4th Ave",44.972665557958784,-93.26874911785126,91,"Grant Street & Portland Ave",44.96954,-93.2669,362,"Customer",1988,1,"Classic"
272,"2019-04-22 16:36:25.1650","2019-04-22 16:40:57.2800",26,"Coffman Union",44.973378,-93.234762,38,"4th Street & 17th Ave SE",44.97913,-93.23189,836,"Customer",1957,1,"Classic"
1604,"2019-04-22 16:37:27.1630","2019-04-22 17:04:11.6620",52,"2nd Ave S & S 3rd Street",44.9797893272483,-93.26599314808846,43,"Nicollet Mall & 10th Street",44.973839,-93.274544,175,"Customer",1984,2,"Classic"
1626,"2019-04-22 16:39:04.6840","2019-04-22 17:06:11.6410",193,"5th Ave N & 4th Street N",44.98438983207127,-93.27736034989357,3,"25th Street & 33rd Ave S",44.957341,-93.223374,369,"Subscriber",1981,2,"Classic"
1049,"2019-04-22 16:40:44.4310","2019-04-22 16:58:14.1440",184,"S 5th Street & Nicollet Mall",44.97866517955856,-93.270503282547,45,"Franklin & Portland",44.96284129291228,-93.26752066612244,1924,"Customer",1964,1,"Classic"
638,"2019-04-22 16:45:51.5330","2019-04-22 16:56:30.0130",184,"S 5th Street & Nicollet Mall",44.97866517955856,-93.270503282547,92,"6th Ave SE & University Ave",44.983281,-93.24812,437,"Customer",1995,1,"Classic"
338,"2019-04-22 16:47:42.8450","2019-04-22 16:53:21.8230",209,"Willey Hall",44.972404,-93.242891,41,"Currie Park",44.969225,-93.251136,1703,"Subscriber",1975,1,"Classic"
464,"2019-04-22 16:48:07.1410","2019-04-22 16:55:52.0620",56,"7th Street & 4th Ave S",44.97497,-93.266684,167,"11th Ave S & S 2nd Street",44.97621996364661,-93.25197726488113,1518,"Subscriber",1983,2,"Classic"
218,"2019-04-22 16:48:19.5610","2019-04-22 16:51:58.1100",191,"Park Ave & 4th Street S",44.97590736693741,-93.260061442852,214,"Mill City Quarter",44.9805,-93.2618,1519,"Customer",1993,2,"Classic"
1780,"2019-04-22 16:59:20.0340","2019-04-22 17:29:00.5250",222,"30th Ave SE & SE 4th Street",44.97141887850372,-93.21342319250107,222,"30th Ave SE & SE 4th Street",44.97141887850372,-93.21342319250107,487,"Customer",1969,0,"Classic"
1776,"2019-04-22 16:59:32.5570","2019-04-22 17:29:08.7060",222,"30th Ave SE & SE 4th Street",44.97141887850372,-93.21342319250107,222,"30th Ave SE & SE 4th Street",44.97141887850372,-93.21342319250107,901,"Customer",1969,0,"Classic"
1315,"2019-04-22 17:01:26.2690","2019-04-22 17:23:21.8060",195,"Hennepin Ave & S Washington Ave",44.981727363030224,-93.269422352314,48,"26th Street & Hennepin",44.9554734,-93.29714298,1740,"Subscriber",1986,1,"Classic"
554,"2019-04-22 17:01:45.2740","2019-04-22 17:10:59.3250",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,16,"22nd Ave S & Franklin Ave",44.96293,-93.241042,451,"Subscriber",1972,1,"Classic"
733,"2019-04-22 17:04:14.6470","2019-04-22 17:16:27.7650",21,"Social Sciences",44.97063897849033,-93.24355244636536,214,"Mill City Quarter",44.9805,-93.2618,34,"Subscriber",1990,1,"Classic"
323,"2019-04-22 17:04:28.2450","2019-04-22 17:09:51.3040",43,"Nicollet Mall & 10th Street",44.973839,-93.274544,102,"West 15th Street & Willow",44.968237,-93.281991,1203,"Subscriber",1972,1,"Classic"
427,"2019-04-22 17:12:09.7270","2019-04-22 17:19:17.3590",26,"Coffman Union",44.973378,-93.234762,208,"23rd Ave SE & University Ave SE",44.974397,-93.223002,137,"Customer",1997,1,"Classic"
483,"2019-04-22 17:12:24.6850","2019-04-22 17:20:28.4520",91,"Grant Street & Portland Ave",44.96954,-93.2669,53,"2nd Ave N & N 6th Street",44.980536,-93.275626,362,"Customer",1988,1,"Classic"
346,"2019-04-22 17:22:32.0250","2019-04-22 17:28:18.4290",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,79,"27th Ave SE & University Ave",44.972599144972556,-93.21897804737091,446,"Subscriber",1997,1,"Classic"
1333,"2019-04-22 17:29:42.4310","2019-04-22 17:51:56.2820",6,"11th Street & Hennepin",44.97528833504171,-93.27881745994091,37,"23rd Ave SE & 6th Street SE",44.977028,-93.221639,2007,"Customer",1974,1,"Classic"
228,"2019-04-22 17:41:21.3310","2019-04-22 17:45:10.3100",188,"Sanford Hall",44.980831,-93.240282,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,432,"Subscriber",1999,1,"Classic"
1399,"2019-04-22 17:43:40.6590","2019-04-22 18:07:00.5870",30,"Washington & Marquette",44.98101454012148,-93.2668849825859,86,"East Lake Street & 36th Ave S",44.94826689447929,-93.22124049067497,1521,"Customer",1987,1,"Classic"
214,"2019-04-22 17:44:49.3780","2019-04-22 17:48:24.0410",36,"South 2nd Street & 3rd Ave S",44.98096183249473,-93.26354429125784,148,"Chicago Ave & S Washington Ave",44.977424322594445,-93.25676500797272,401,"Customer",1990,1,"Classic"
187,"2019-04-22 17:47:35.4010","2019-04-22 17:50:43.1060",113,"15th Ave SE & Como Ave SE",44.987517,-93.230469,211,"15th Ave SE & SE 4th Street",44.97995059557327,-93.23478698730469,42,"Customer",1999,1,"Classic"
1132,"2019-04-22 17:49:30.9190","2019-04-22 18:08:23.1510",193,"5th Ave N & 4th Street N",44.98438983207127,-93.27736034989357,48,"26th Street & Hennepin",44.9554734,-93.29714298,439,"Subscriber",1988,1,"Classic"
162,"2019-04-22 17:56:35.8800","2019-04-22 17:59:18.3700",190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,988,"Customer",1997,1,"Classic"
231,"2019-04-22 18:04:32.9480","2019-04-22 18:08:24.1420",8,"YWCA Downtown",44.972217,-93.276435,102,"West 15th Street & Willow",44.968237,-93.281991,562,"Customer",1995,1,"Classic"
