Number,Name,Latitude,Longitude,Total docks
30096,University Ave NE & 12th Ave NE,44.999874,-93.262955,15
30097,Pleasant Ave S &  Lake Street,44.948556,-93.283163,15
30098,Marshall Street NE & 8th Ave NE,44.995348,-93.266854,15
30099,Kowalski's Market,44.94010259,-93.15315127,15
30100,Lake Como Pavilion,44.981914,-93.143383,23
30101,N Milton Street & Summit Ave,44.941599,-93.138832,15
30102,Como Park Conservatory,44.98025511,-93.15167874,19
30103,Hague Ave & Dale Street,44.945736,-93.12661,15
30104,Logan Park,44.99882,-93.25276,23
30105,Lexington Pkwy & University Ave,44.955363,-93.146379,15
30106,Dale Street & Grand Ave.,44.939779,-93.126261,15
30107,Dale Street N & University Ave,44.956066,-93.126088,15
30108,Elliot Ave S & E 24th Street,44.95937384,-93.26101631,15
30109,Como Ave SE & 29th Ave SE,44.987934,-93.212892,19
30110,15th Ave SE & Como Ave SE,44.987517,-93.230469,19
30111,Hamline Ave N & University Ave,44.9559764,-93.15670252,15
30112,Central Ave NE & 22nd Ave NE,45.00994,-93.247114,15
30113,U of M St. Paul Student Center,44.984527,-93.185029,15
30114,3rd Ave S & E 38th Street,44.93387867,-93.27260882,11
30115,Washington Ave SE & Union Street SE,44.97394,-93.2321,31
30116,Minnesota History Center,44.949053,-93.10673,15
30117,10th Street E & Cedar Street,44.950189,-93.09759,15
30118,7th Place & Jackson Street,44.949433,-93.091207,15
30119,Union Depot,44.948399,-93.086584,23
30120,Kellogg Blvd E & Jackson Street,44.946191,-93.088802,15
30121,7th Street E & Wacouta Street,44.950766,-93.089245,15
30122,Broadway Street N & 4th Street E,44.94965,-93.0845,19
30123,Minnesota Dept. of Transportation,44.95385,-93.10445,15
30124,Kellogg Blvd W & Smith Ave,44.945173,-93.103863,11
30125,Cedar Street & Columbus Ave,44.95235098,-93.09954867,15
30126,5th Street E & Minnesota Street N,44.94683,-93.09231,19
30127,Landmark Plaza,44.945267,-93.096114,15
30128,Wells Fargo Place,44.94813,-93.09663,15
30129,Shepard Road & Sibley Street,44.94638658,-93.08343261,15
30130,Wabasha Street S & E Fillmore Ave,44.94065697,-93.09000671,17
30131,Harriet Island,44.93768,-93.094532,19
